date;Keith Vaz;Body image;Cannes film festival;Plymouth Argyle;air travel;isPartial
2023-01-01;0;3;1;83;11;False
2023-01-02;1;2;2;34;14;False
2023-01-03;0;3;0;26;9;False
2023-01-04;0;5;0;14;13;False
2023-01-05;0;2;2;17;11;False
2023-01-06;0;3;1;26;11;False
2023-01-07;0;2;3;76;8;False
2023-01-08;1;3;0;29;13;False
2023-01-09;0;3;0;26;8;False
2023-01-10;1;3;1;56;12;False
2023-01-11;0;3;0;23;13;False
2023-01-12;0;3;1;21;11;False
2023-01-13;0;6;1;18;9;False
2023-01-14;0;5;1;100;8;False
2023-01-15;0;5;0;22;10;False
2023-01-16;1;6;1;18;10;False
2023-01-17;0;4;0;10;8;False
2023-01-18;0;6;1;11;12;False
2023-01-19;0;4;0;14;11;False
2023-01-20;0;5;1;15;9;False
2023-01-21;1;4;0;84;9;False
2023-01-22;0;3;1;22;11;False
2023-01-23;3;5;2;23;11;False
2023-01-24;0;5;0;17;8;False
2023-01-25;1;4;0;14;11;False
2023-01-26;0;5;1;14;10;False
2023-01-27;0;2;0;11;7;False
2023-01-28;2;2;1;30;10;False
2023-01-29;0;5;1;13;9;False
2023-01-30;0;5;1;18;15;False
2023-01-31;1;4;1;19;13;False
