date;Steve McQueen;Eva Green;paris 2024 olympics;Glasgow;air travel;isPartial
2023-01-01;0;0;0;74;1;False
2023-01-02;0;0;0;89;1;False
2023-01-03;0;0;0;91;1;False
2023-01-04;0;0;0;91;1;False
2023-01-05;0;0;0;88;1;False
2023-01-06;0;0;0;85;1;False
2023-01-07;0;0;0;81;1;False
2023-01-08;0;0;0;100;1;False
2023-01-09;0;0;0;90;1;False
2023-01-10;0;0;0;93;1;False
2023-01-11;0;0;0;91;1;False
2023-01-12;0;0;0;93;1;False
2023-01-13;1;0;0;96;1;False
2023-01-14;0;0;0;88;1;False
2023-01-15;1;0;0;87;1;False
2023-01-16;1;0;0;91;1;False
2023-01-17;0;0;0;89;1;False
2023-01-18;0;0;0;87;1;False
2023-01-19;0;0;0;86;1;False
2023-01-20;0;0;0;99;1;False
2023-01-21;0;0;0;92;1;False
2023-01-22;0;1;0;89;1;False
2023-01-23;0;0;0;92;1;False
2023-01-24;1;2;0;98;1;False
2023-01-25;0;1;0;90;1;False
2023-01-26;0;3;0;89;1;False
2023-01-27;0;2;0;86;1;False
2023-01-28;0;1;0;88;1;False
2023-01-29;0;1;0;90;1;False
2023-01-30;0;5;0;95;1;False
2023-01-31;0;7;0;94;1;False
