date;devon;Heritage;Don't Look Up;El Salvador;air travel;isPartial
2023-01-01;90;34;1;2;5;False
2023-01-02;92;37;2;1;6;False
2023-01-03;96;32;1;2;4;False
2023-01-04;92;33;1;1;5;False
2023-01-05;90;35;2;2;5;False
2023-01-06;89;34;1;2;5;False
2023-01-07;89;29;0;1;3;False
2023-01-08;97;34;1;1;5;False
2023-01-09;93;36;0;2;3;False
2023-01-10;88;33;0;1;5;False
2023-01-11;91;35;0;1;6;False
2023-01-12;100;34;0;3;5;False
2023-01-13;86;31;0;2;4;False
2023-01-14;86;34;1;3;3;False
2023-01-15;90;34;1;1;4;False
2023-01-16;91;36;1;2;4;False
2023-01-17;94;31;1;3;3;False
2023-01-18;99;35;1;1;5;False
2023-01-19;91;35;0;2;5;False
2023-01-20;84;33;0;2;4;False
2023-01-21;85;31;1;2;4;False
2023-01-22;89;34;0;2;4;False
2023-01-23;95;38;0;2;4;False
2023-01-24;95;35;0;2;3;False
2023-01-25;93;34;0;2;5;False
2023-01-26;86;33;0;3;4;False
2023-01-27;85;32;0;2;3;False
2023-01-28;85;31;1;1;4;False
2023-01-29;95;35;0;2;4;False
2023-01-30;94;35;0;2;6;False
2023-01-31;92;35;1;2;5;False
