date;Primary schools;Mini-budget 2022;Florida;North Dakota;air travel;isPartial
2023-01-01;11;0;94;1;7;False
2023-01-02;14;0;91;2;9;False
2023-01-03;21;0;75;0;6;False
2023-01-04;19;0;76;1;9;False
2023-01-05;20;0;77;0;7;False
2023-01-06;23;0;77;1;7;False
2023-01-07;12;0;84;1;5;False
2023-01-08;16;0;96;1;8;False
2023-01-09;22;0;71;2;5;False
2023-01-10;22;0;72;1;8;False
2023-01-11;18;0;64;1;9;False
2023-01-12;21;0;68;1;7;False
2023-01-13;17;0;66;0;6;False
2023-01-14;13;0;80;1;5;False
2023-01-15;14;0;92;0;6;False
2023-01-16;20;0;69;0;7;False
2023-01-17;21;0;63;1;5;False
2023-01-18;16;0;61;1;8;False
2023-01-19;19;0;70;1;7;False
2023-01-20;18;0;69;1;6;False
2023-01-21;12;0;74;0;6;False
2023-01-22;12;0;90;0;7;False
2023-01-23;16;0;67;0;7;False
2023-01-24;20;0;66;3;5;False
2023-01-25;18;0;68;2;7;False
2023-01-26;16;0;64;2;7;False
2023-01-27;17;0;65;0;5;False
2023-01-28;11;0;70;1;6;False
2023-01-29;14;0;100;0;6;False
2023-01-30;25;0;73;3;10;False
2023-01-31;28;0;69;0;8;False
