date;Buffy the Vampire Slayer;Russell T Davies;New York Giants;theresa may;air travel;isPartial
2023-01-01;18;0;20;6;32;False
2023-01-02;14;0;6;9;38;False
2023-01-03;11;3;0;8;24;False
2023-01-04;15;0;5;11;37;False
2023-01-05;17;7;4;9;30;False
2023-01-06;13;0;2;11;30;False
2023-01-07;17;0;7;11;22;False
2023-01-08;11;3;17;25;35;False
2023-01-09;12;7;10;17;21;False
2023-01-10;16;3;0;10;33;False
2023-01-11;15;4;0;10;37;False
2023-01-12;16;4;8;9;31;False
2023-01-13;19;3;0;10;25;False
2023-01-14;18;0;3;0;23;False
2023-01-15;21;2;14;5;28;False
2023-01-16;19;4;38;10;28;False
2023-01-17;20;5;13;7;23;False
2023-01-18;19;5;9;12;33;False
2023-01-19;15;0;6;6;30;False
2023-01-20;18;100;8;17;25;False
2023-01-21;20;40;13;8;26;False
2023-01-22;14;8;26;15;29;False
2023-01-23;9;2;4;12;30;False
2023-01-24;19;6;3;8;23;False
2023-01-25;34;4;3;9;31;False
2023-01-26;17;18;2;10;28;False
2023-01-27;54;8;7;12;20;False
2023-01-28;35;10;0;11;27;False
2023-01-29;27;10;3;11;25;False
2023-01-30;29;52;0;12;42;False
2023-01-31;24;12;5;7;35;False
