date;Zambia;Bucharest holidays;Scotland holidays;Diamonds;air travel;isPartial
2023-01-01;11;0;40;95;19;False
2023-01-02;18;2;68;89;22;False
2023-01-03;15;0;69;85;15;False
2023-01-04;15;0;49;75;22;False
2023-01-05;15;0;33;64;18;False
2023-01-06;14;3;33;72;18;False
2023-01-07;13;0;28;71;13;False
2023-01-08;9;3;36;99;21;False
2023-01-09;13;0;36;58;12;False
2023-01-10;16;0;32;66;20;False
2023-01-11;17;0;28;71;22;False
2023-01-12;11;2;30;84;18;False
2023-01-13;10;0;25;64;15;False
2023-01-14;16;0;26;81;14;False
2023-01-15;17;2;37;79;16;False
2023-01-16;20;0;32;79;17;False
2023-01-17;18;0;27;63;14;False
2023-01-18;14;0;23;69;20;False
2023-01-19;17;0;24;71;18;False
2023-01-20;12;2;25;81;15;False
2023-01-21;13;0;24;86;16;False
2023-01-22;15;0;30;88;17;False
2023-01-23;12;2;32;66;18;False
2023-01-24;14;0;30;76;14;False
2023-01-25;19;0;30;71;19;False
2023-01-26;12;0;23;73;17;False
2023-01-27;12;7;14;75;12;False
2023-01-28;16;0;14;100;16;False
2023-01-29;12;3;38;97;15;False
2023-01-30;14;0;26;67;25;False
2023-01-31;13;0;28;76;21;False
