date;France holidays;Thomas Mann;Winter Olympics;John Lennon;air travel;isPartial
2023-01-01;59;3;26;92;38;False
2023-01-02;84;4;13;67;45;False
2023-01-03;58;7;14;45;29;False
2023-01-04;54;8;18;38;44;False
2023-01-05;43;18;4;49;36;False
2023-01-06;42;0;6;56;36;False
2023-01-07;56;4;16;70;26;False
2023-01-08;78;5;20;93;42;False
2023-01-09;49;0;17;50;25;False
2023-01-10;50;5;21;53;39;False
2023-01-11;38;3;4;56;44;False
2023-01-12;44;6;10;53;37;False
2023-01-13;36;0;59;63;30;False
2023-01-14;43;0;26;100;28;False
2023-01-15;83;0;28;91;33;False
2023-01-16;38;0;17;61;34;False
2023-01-17;39;0;6;63;28;False
2023-01-18;48;4;19;81;40;False
2023-01-19;36;0;7;49;36;False
2023-01-20;37;4;6;59;29;False
2023-01-21;51;0;9;73;31;False
2023-01-22;48;0;22;61;35;False
2023-01-23;35;0;20;39;36;False
2023-01-24;46;4;11;49;27;False
2023-01-25;31;8;14;66;37;False
2023-01-26;24;4;7;54;34;False
2023-01-27;38;0;16;53;23;False
2023-01-28;45;0;15;53;33;False
2023-01-29;55;3;23;56;30;False
2023-01-30;49;0;6;44;50;False
2023-01-31;44;0;6;50;42;False
