date;daily podcast;Housing;Atlanta;Hawaii;air travel;isPartial
2023-01-01;0;40;12;17;3;False
2023-01-02;0;60;11;14;4;False
2023-01-03;0;91;12;11;2;False
2023-01-04;1;90;11;14;3;False
2023-01-05;0;88;10;13;3;False
2023-01-06;0;87;9;16;3;False
2023-01-07;0;51;8;17;2;False
2023-01-08;0;55;11;17;3;False
2023-01-09;1;96;10;16;2;False
2023-01-10;0;91;10;13;3;False
2023-01-11;0;91;10;13;3;False
2023-01-12;0;100;9;13;3;False
2023-01-13;1;83;9;12;2;False
2023-01-14;0;54;8;14;2;False
2023-01-15;0;52;9;15;3;False
2023-01-16;0;94;8;12;3;False
2023-01-17;0;89;9;11;2;False
2023-01-18;1;94;9;11;3;False
2023-01-19;0;87;8;12;3;False
2023-01-20;1;86;9;12;2;False
2023-01-21;0;54;10;14;2;False
2023-01-22;0;55;12;14;3;False
2023-01-23;1;97;9;13;3;False
2023-01-24;0;92;8;13;2;False
2023-01-25;0;92;9;16;3;False
2023-01-26;0;92;8;9;3;False
2023-01-27;0;88;8;11;2;False
2023-01-28;0;50;9;10;3;False
2023-01-29;1;52;10;14;2;False
2023-01-30;1;90;9;11;4;False
2023-01-31;0;93;9;14;3;False
