date;Exeter;Hunger;Buildings at risk;US unemployment and employment data;air travel;isPartial
2023-01-01;89;19;0;0;4;False
2023-01-02;83;18;0;0;4;False
2023-01-03;85;12;0;0;3;False
2023-01-04;80;12;0;0;4;False
2023-01-05;78;11;0;0;3;False
2023-01-06;84;13;0;0;3;False
2023-01-07;88;15;0;0;2;False
2023-01-08;81;16;1;0;4;False
2023-01-09;83;12;0;0;2;False
2023-01-10;83;12;0;0;4;False
2023-01-11;80;12;0;0;4;False
2023-01-12;86;12;0;0;3;False
2023-01-13;79;12;0;0;3;False
2023-01-14;96;13;0;0;3;False
2023-01-15;82;18;0;0;3;False
2023-01-16;86;12;0;0;3;False
2023-01-17;85;11;0;0;3;False
2023-01-18;90;13;0;0;4;False
2023-01-19;82;14;0;0;3;False
2023-01-20;82;14;0;0;3;False
2023-01-21;100;16;1;0;3;False
2023-01-22;78;17;0;0;3;False
2023-01-23;83;14;0;0;3;False
2023-01-24;88;13;0;0;3;False
2023-01-25;81;11;0;0;3;False
2023-01-26;79;14;0;0;3;False
2023-01-27;86;14;0;0;2;False
2023-01-28;98;16;0;0;3;False
2023-01-29;93;18;0;0;3;False
2023-01-30;85;13;1;0;5;False
2023-01-31;85;14;1;0;4;False
