date;Idles;Venus;Watermill theatre;Arctic;air travel;isPartial
2023-01-01;3;47;0;82;15;False
2023-01-02;1;56;0;87;17;False
2023-01-03;2;43;0;76;11;False
2023-01-04;1;47;3;77;17;False
2023-01-05;4;47;0;75;14;False
2023-01-06;3;39;0;100;14;False
2023-01-07;2;53;0;70;10;False
2023-01-08;0;51;0;84;16;False
2023-01-09;2;45;1;83;10;False
2023-01-10;1;44;2;73;15;False
2023-01-11;4;46;0;79;17;False
2023-01-12;5;46;0;82;14;False
2023-01-13;3;39;0;84;12;False
2023-01-14;5;74;0;81;11;False
2023-01-15;3;52;2;69;13;False
2023-01-16;2;49;0;79;13;False
2023-01-17;3;45;0;80;11;False
2023-01-18;0;54;0;70;15;False
2023-01-19;3;48;0;64;14;False
2023-01-20;0;52;0;81;11;False
2023-01-21;5;54;1;84;12;False
2023-01-22;2;50;1;72;14;False
2023-01-23;2;46;0;83;14;False
2023-01-24;1;52;0;79;11;False
2023-01-25;0;47;0;72;15;False
2023-01-26;3;44;0;79;13;False
2023-01-27;0;43;0;66;9;False
2023-01-28;3;45;0;76;13;False
2023-01-29;2;62;0;83;12;False
2023-01-30;1;50;2;72;19;False
2023-01-31;7;41;0;73;16;False
