date;Finland;Cancer;professor green;Winter sun;air travel;isPartial
2023-01-01;8;65;2;2;2;False
2023-01-02;7;78;2;2;2;False
2023-01-03;7;82;0;2;1;False
2023-01-04;6;78;1;1;2;False
2023-01-05;6;78;0;2;2;False
2023-01-06;7;100;0;1;2;False
2023-01-07;8;71;0;2;1;False
2023-01-08;6;73;0;2;2;False
2023-01-09;9;77;1;2;1;False
2023-01-10;7;92;0;1;2;False
2023-01-11;6;81;0;1;2;False
2023-01-12;7;100;1;1;2;False
2023-01-13;5;84;1;1;1;False
2023-01-14;5;73;0;2;1;False
2023-01-15;7;77;1;2;2;False
2023-01-16;6;75;0;1;2;False
2023-01-17;5;78;0;2;1;False
2023-01-18;7;75;0;2;2;False
2023-01-19;5;74;1;2;2;False
2023-01-20;7;76;0;2;1;False
2023-01-21;6;68;0;1;2;False
2023-01-22;6;68;1;2;2;False
2023-01-23;6;78;0;1;2;False
2023-01-24;7;78;0;1;1;False
2023-01-25;5;90;0;1;2;False
2023-01-26;6;82;0;1;2;False
2023-01-27;5;85;0;1;1;False
2023-01-28;4;67;1;2;2;False
2023-01-29;6;77;0;1;2;False
2023-01-30;6;95;0;1;2;False
2023-01-31;7;88;1;1;2;False
