date;Film production and photography;Budget;Malcolm McLaren;italy;air travel;isPartial
2023-01-01;0;42;1;85;4;False
2023-01-02;0;41;1;88;4;False
2023-01-03;0;43;0;78;3;False
2023-01-04;0;41;0;82;4;False
2023-01-05;0;39;1;76;3;False
2023-01-06;0;39;0;95;3;False
2023-01-07;0;34;0;86;3;False
2023-01-08;0;40;0;100;4;False
2023-01-09;0;43;0;80;2;False
2023-01-10;0;40;0;78;4;False
2023-01-11;0;39;0;68;4;False
2023-01-12;0;39;0;76;4;False
2023-01-13;0;34;1;79;3;False
2023-01-14;0;32;0;85;3;False
2023-01-15;0;38;0;98;3;False
2023-01-16;0;42;1;91;3;False
2023-01-17;0;42;0;81;3;False
2023-01-18;0;42;0;77;4;False
2023-01-19;0;43;0;70;3;False
2023-01-20;0;40;1;73;3;False
2023-01-21;0;38;0;81;3;False
2023-01-22;0;38;1;97;3;False
2023-01-23;0;45;2;78;3;False
2023-01-24;0;44;1;82;3;False
2023-01-25;0;41;0;73;4;False
2023-01-26;0;39;0;67;3;False
2023-01-27;0;38;0;71;2;False
2023-01-28;0;34;1;77;3;False
2023-01-29;0;38;1;87;3;False
2023-01-30;0;48;0;76;5;False
2023-01-31;0;40;0;72;4;False
