date;Liberal Democrats;Harold Macmillan;Fourth plinth;Snooker;air travel;isPartial
2023-01-01;0;0;0;6;1;False
2023-01-02;0;0;0;7;1;False
2023-01-03;0;0;0;8;1;False
2023-01-04;0;0;0;7;1;False
2023-01-05;0;0;0;7;1;False
2023-01-06;0;0;0;8;1;False
2023-01-07;0;0;0;10;1;False
2023-01-08;0;0;0;34;1;False
2023-01-09;0;0;0;31;1;False
2023-01-10;0;0;0;29;1;False
2023-01-11;0;0;0;32;1;False
2023-01-12;0;0;0;48;1;False
2023-01-13;0;0;0;39;1;False
2023-01-14;0;0;0;51;1;False
2023-01-15;0;0;0;100;1;False
2023-01-16;0;0;0;49;1;False
2023-01-17;0;0;0;24;1;False
2023-01-18;0;0;0;28;1;False
2023-01-19;0;0;0;28;1;False
2023-01-20;0;0;0;29;1;False
2023-01-21;0;0;0;28;1;False
2023-01-22;0;0;0;39;1;False
2023-01-23;0;0;0;21;1;False
2023-01-24;0;0;0;8;1;False
2023-01-25;0;0;0;12;1;False
2023-01-26;0;0;0;13;1;False
2023-01-27;0;0;0;14;1;False
2023-01-28;0;0;0;16;1;False
2023-01-29;0;0;0;10;1;False
2023-01-30;0;0;0;8;1;False
2023-01-31;0;0;0;6;1;False
