date;World Cup 2022;Daily Telegraph;Lyon Women;Human rights;air travel;isPartial
2023-01-01;100;67;2;16;21;False
2023-01-02;93;75;0;29;25;False
2023-01-03;77;75;0;44;16;False
2023-01-04;81;76;2;46;25;False
2023-01-05;61;60;0;46;20;False
2023-01-06;75;74;0;42;21;False
2023-01-07;72;66;3;28;15;False
2023-01-08;83;69;2;38;24;False
2023-01-09;64;73;0;52;14;False
2023-01-10;59;69;0;54;22;False
2023-01-11;61;65;0;67;25;False
2023-01-12;47;71;0;60;21;False
2023-01-13;60;68;0;46;17;False
2023-01-14;68;71;0;36;16;False
2023-01-15;74;69;0;34;19;False
2023-01-16;49;70;0;63;19;False
2023-01-17;43;70;2;50;16;False
2023-01-18;33;77;0;60;22;False
2023-01-19;49;69;5;55;20;False
2023-01-20;50;75;2;46;17;False
2023-01-21;49;61;3;36;18;False
2023-01-22;56;53;0;22;20;False
2023-01-23;50;74;0;48;20;False
2023-01-24;44;67;0;51;15;False
2023-01-25;44;74;2;42;21;False
2023-01-26;33;63;4;59;19;False
2023-01-27;51;75;0;39;13;False
2023-01-28;49;88;0;31;18;False
2023-01-29;49;65;3;37;17;False
2023-01-30;32;76;0;61;28;False
2023-01-31;46;64;3;63;24;False
