date;nature crisis;Wigmore Hall;Les Miserables;Sickle cell disease;air travel;isPartial
2023-01-01;0;4;18;0;20;False
2023-01-02;0;4;25;0;23;False
2023-01-03;0;2;23;3;15;False
2023-01-04;0;5;22;4;23;False
2023-01-05;0;2;17;1;19;False
2023-01-06;2;2;25;0;19;False
2023-01-07;0;6;25;4;14;False
2023-01-08;0;3;22;0;22;False
2023-01-09;0;2;20;0;13;False
2023-01-10;0;2;18;6;20;False
2023-01-11;0;5;25;3;23;False
2023-01-12;0;5;20;4;19;False
2023-01-13;3;4;19;4;16;False
2023-01-14;0;7;31;0;15;False
2023-01-15;0;2;28;2;17;False
2023-01-16;0;6;12;10;18;False
2023-01-17;0;3;15;4;14;False
2023-01-18;0;3;14;0;21;False
2023-01-19;0;7;17;0;19;False
2023-01-20;9;4;14;4;15;False
2023-01-21;0;2;19;6;16;False
2023-01-22;0;4;56;0;18;False
2023-01-23;0;4;20;3;19;False
2023-01-24;0;3;20;2;14;False
2023-01-25;0;5;15;2;20;False
2023-01-26;0;4;14;0;18;False
2023-01-27;0;5;16;0;12;False
2023-01-28;0;4;100;0;17;False
2023-01-29;2;3;26;0;16;False
2023-01-30;0;5;16;5;26;False
2023-01-31;0;4;15;2;22;False
