date;Shakhtar Donetsk;snow;Partygate;Monarchy;air travel;isPartial
2023-01-01;0;54;0;2;2;False
2023-01-02;1;61;0;1;2;False
2023-01-03;0;87;0;1;1;False
2023-01-04;0;72;0;1;2;False
2023-01-05;0;53;0;1;1;False
2023-01-06;0;49;0;2;1;False
2023-01-07;0;57;0;1;1;False
2023-01-08;0;58;0;2;2;False
2023-01-09;0;45;0;2;1;False
2023-01-10;0;43;0;1;2;False
2023-01-11;0;42;2;2;2;False
2023-01-12;0;48;1;1;2;False
2023-01-13;1;48;1;1;1;False
2023-01-14;2;59;0;1;1;False
2023-01-15;2;97;0;1;1;False
2023-01-16;2;100;0;1;1;False
2023-01-17;1;99;0;1;1;False
2023-01-18;0;85;0;1;2;False
2023-01-19;0;64;0;1;1;False
2023-01-20;0;46;0;1;1;False
2023-01-21;1;54;0;1;1;False
2023-01-22;0;56;0;1;1;False
2023-01-23;0;47;0;1;1;False
2023-01-24;0;42;0;1;1;False
2023-01-25;0;40;0;1;2;False
2023-01-26;0;38;0;1;1;False
2023-01-27;0;38;0;0;1;False
2023-01-28;0;42;0;1;1;False
2023-01-29;0;48;0;1;1;False
2023-01-30;0;41;0;1;2;False
2023-01-31;0;36;0;0;2;False
