date;Business and finance books;dallas;David Frost;Seafood;air travel;isPartial
2023-01-01;0;98;2;54;17;False
2023-01-02;0;62;3;64;20;False
2023-01-03;0;56;2;59;13;False
2023-01-04;0;48;1;56;20;False
2023-01-05;0;47;1;49;16;False
2023-01-06;0;62;0;51;16;False
2023-01-07;0;66;2;58;12;False
2023-01-08;0;83;4;61;19;False
2023-01-09;0;63;2;48;11;False
2023-01-10;0;51;1;42;17;False
2023-01-11;0;52;4;43;20;False
2023-01-12;0;47;3;52;17;False
2023-01-13;0;83;2;53;13;False
2023-01-14;0;81;0;63;12;False
2023-01-15;0;62;2;55;15;False
2023-01-16;0;69;1;53;15;False
2023-01-17;0;92;1;47;12;False
2023-01-18;0;53;2;43;18;False
2023-01-19;0;55;0;53;16;False
2023-01-20;0;58;3;52;13;False
2023-01-21;0;57;2;60;14;False
2023-01-22;0;87;4;46;16;False
2023-01-23;0;100;1;56;16;False
2023-01-24;0;67;3;52;12;False
2023-01-25;0;59;3;42;17;False
2023-01-26;0;40;0;49;15;False
2023-01-27;0;57;2;47;10;False
2023-01-28;0;66;2;57;15;False
2023-01-29;0;73;0;65;13;False
2023-01-30;0;54;0;55;22;False
2023-01-31;0;70;3;52;19;False
