date;taiwan;Alcohol;steven spielberg;Focus;air travel;isPartial
2023-01-01;4;100;4;28;3;False
2023-01-02;5;73;1;34;3;False
2023-01-03;6;67;1;37;2;False
2023-01-04;7;73;1;35;3;False
2023-01-05;10;68;1;37;3;False
2023-01-06;5;75;1;35;3;False
2023-01-07;5;72;2;32;2;False
2023-01-08;4;73;2;34;3;False
2023-01-09;5;58;1;37;2;False
2023-01-10;5;61;1;37;3;False
2023-01-11;6;61;3;36;3;False
2023-01-12;6;65;2;40;3;False
2023-01-13;5;71;2;36;2;False
2023-01-14;4;70;3;36;2;False
2023-01-15;5;67;3;36;2;False
2023-01-16;5;61;2;39;3;False
2023-01-17;5;63;2;39;2;False
2023-01-18;7;61;3;38;3;False
2023-01-19;5;64;7;38;3;False
2023-01-20;5;70;5;37;2;False
2023-01-21;10;75;4;38;2;False
2023-01-22;5;65;4;37;3;False
2023-01-23;5;59;3;42;3;False
2023-01-24;6;57;2;40;2;False
2023-01-25;5;58;4;39;3;False
2023-01-26;4;60;3;38;3;False
2023-01-27;5;70;6;36;2;False
2023-01-28;4;67;9;36;2;False
2023-01-29;4;67;7;37;2;False
2023-01-30;6;60;4;41;4;False
2023-01-31;6;59;3;41;3;False
