date;Sundance 2023;Celtic;halyna hutchins;Tasmania;air travel;isPartial
2023-01-01;0;20;0;0;1;False
2023-01-02;0;100;0;0;1;False
2023-01-03;0;15;0;0;0;False
2023-01-04;0;14;0;1;1;False
2023-01-05;0;14;0;0;1;False
2023-01-06;0;14;0;0;1;False
2023-01-07;0;39;0;0;0;False
2023-01-08;0;16;0;0;1;False
2023-01-09;0;13;0;0;0;False
2023-01-10;0;15;0;0;1;False
2023-01-11;0;14;0;0;1;False
2023-01-12;0;15;0;0;1;False
2023-01-13;0;15;0;0;0;False
2023-01-14;0;62;0;0;0;False
2023-01-15;0;18;0;0;1;False
2023-01-16;0;14;0;0;1;False
2023-01-17;0;15;0;0;0;False
2023-01-18;0;41;0;0;1;False
2023-01-19;0;16;1;0;1;False
2023-01-20;0;17;1;0;0;False
2023-01-21;0;47;0;0;0;False
2023-01-22;0;17;0;0;1;False
2023-01-23;0;15;0;1;1;False
2023-01-24;0;14;0;0;0;False
2023-01-25;0;15;0;0;1;False
2023-01-26;0;13;0;0;1;False
2023-01-27;0;14;0;0;0;False
2023-01-28;0;17;0;0;1;False
2023-01-29;0;42;0;1;0;False
2023-01-30;0;16;0;0;1;False
2023-01-31;0;16;0;0;1;False
