date;Stephen Fry;Deforestation;Steve Borthwick;Planets;air travel;isPartial
2023-01-01;17;5;9;66;22;False
2023-01-02;21;0;5;68;26;False
2023-01-03;8;6;3;50;17;False
2023-01-04;18;8;4;63;25;False
2023-01-05;0;15;5;58;21;False
2023-01-06;14;11;2;63;21;False
2023-01-07;13;5;4;44;15;False
2023-01-08;19;9;6;64;24;False
2023-01-09;11;14;4;74;14;False
2023-01-10;17;14;2;60;22;False
2023-01-11;14;12;1;55;25;False
2023-01-12;11;13;2;72;21;False
2023-01-13;12;20;0;46;17;False
2023-01-14;11;7;3;100;16;False
2023-01-15;17;8;2;64;19;False
2023-01-16;10;13;22;69;19;False
2023-01-17;12;12;13;68;16;False
2023-01-18;11;17;6;63;23;False
2023-01-19;6;19;5;62;21;False
2023-01-20;16;15;3;70;17;False
2023-01-21;14;7;3;63;18;False
2023-01-22;8;9;0;68;20;False
2023-01-23;15;12;4;62;20;False
2023-01-24;9;15;3;71;16;False
2023-01-25;11;13;0;68;21;False
2023-01-26;10;15;1;58;19;False
2023-01-27;13;11;5;61;13;False
2023-01-28;9;8;0;48;19;False
2023-01-29;11;6;0;62;17;False
2023-01-30;14;21;2;62;28;False
2023-01-31;13;16;0;63;24;False
