date;china;US supreme court;Independent Office for Police Conduct;Cristiano Ronaldo;air travel;isPartial
2023-01-01;100;1;0;23;3;False
2023-01-02;81;1;0;19;4;False
2023-01-03;76;0;0;26;3;False
2023-01-04;73;0;0;18;4;False
2023-01-05;77;1;0;17;3;False
2023-01-06;79;0;0;17;3;False
2023-01-07;72;0;0;12;2;False
2023-01-08;71;1;0;12;4;False
2023-01-09;72;0;0;9;2;False
2023-01-10;66;0;0;9;3;False
2023-01-11;67;0;0;12;4;False
2023-01-12;74;0;0;9;3;False
2023-01-13;80;0;0;9;3;False
2023-01-14;84;0;0;10;2;False
2023-01-15;74;0;0;8;3;False
2023-01-16;70;1;0;5;3;False
2023-01-17;73;0;0;9;2;False
2023-01-18;74;0;0;8;4;False
2023-01-19;75;0;1;15;3;False
2023-01-20;83;0;0;10;3;False
2023-01-21;83;0;0;9;3;False
2023-01-22;88;0;0;12;3;False
2023-01-23;80;0;0;12;3;False
2023-01-24;76;0;0;6;2;False
2023-01-25;73;0;0;5;3;False
2023-01-26;64;0;0;8;3;False
2023-01-27;75;1;0;9;2;False
2023-01-28;70;0;0;8;3;False
2023-01-29;69;0;0;6;3;False
2023-01-30;73;0;0;7;4;False
2023-01-31;66;1;0;9;4;False
