date;Coventry City;Access to green space;Kevin De Bruyne;Jim Chalmers (Australian politician);air travel;isPartial
2023-01-01;75;0;5;0;10;False
2023-01-02;23;0;3;0;12;False
2023-01-03;20;0;4;0;8;False
2023-01-04;23;1;2;0;12;False
2023-01-05;22;0;8;0;10;False
2023-01-06;23;0;2;0;10;False
2023-01-07;93;0;6;0;7;False
2023-01-08;30;0;5;0;11;False
2023-01-09;19;0;2;0;7;False
2023-01-10;23;0;3;0;11;False
2023-01-11;24;0;3;0;12;False
2023-01-12;20;0;2;0;10;False
2023-01-13;24;0;2;0;8;False
2023-01-14;42;1;5;0;7;False
2023-01-15;17;1;4;0;9;False
2023-01-16;21;0;2;0;9;False
2023-01-17;22;0;5;0;7;False
2023-01-18;18;0;2;0;11;False
2023-01-19;20;0;5;0;10;False
2023-01-20;22;1;3;0;8;False
2023-01-21;100;1;3;0;8;False
2023-01-22;22;0;3;0;9;False
2023-01-23;22;0;1;0;10;False
2023-01-24;23;0;2;0;7;False
2023-01-25;21;0;1;0;10;False
2023-01-26;24;0;2;0;9;False
2023-01-27;19;1;6;0;6;False
2023-01-28;52;1;6;0;9;False
2023-01-29;19;0;2;0;8;False
2023-01-30;27;0;4;0;13;False
2023-01-31;46;0;1;0;11;False
