date;Australia rugby union team;Panama Papers;Media law;Mary J Blige;air travel;isPartial
2023-01-01;0;0;0;25;76;False
2023-01-02;0;0;5;0;90;False
2023-01-03;0;8;17;17;59;False
2023-01-04;0;10;8;12;89;False
2023-01-05;0;0;9;0;73;False
2023-01-06;10;6;16;23;73;False
2023-01-07;0;8;0;35;53;False
2023-01-08;0;0;7;11;84;False
2023-01-09;0;0;8;6;50;False
2023-01-10;0;16;0;10;79;False
2023-01-11;0;6;15;31;90;False
2023-01-12;0;6;5;14;75;False
2023-01-13;0;4;11;12;60;False
2023-01-14;0;0;10;29;56;False
2023-01-15;0;8;0;29;66;False
2023-01-16;0;0;14;13;68;False
2023-01-17;0;0;0;13;56;False
2023-01-18;0;0;23;31;80;False
2023-01-19;0;0;8;17;73;False
2023-01-20;0;5;7;23;59;False
2023-01-21;0;0;0;22;63;False
2023-01-22;0;0;8;14;70;False
2023-01-23;0;7;9;12;72;False
2023-01-24;0;8;20;11;55;False
2023-01-25;8;0;0;10;75;False
2023-01-26;0;9;22;24;68;False
2023-01-27;0;0;10;17;47;False
2023-01-28;0;10;0;34;66;False
2023-01-29;0;0;12;38;60;False
2023-01-30;22;13;8;0;100;False
2023-01-31;0;0;0;17;84;False
