date;nasa;India;Dallas Cowboys;Sauces and gravies;air travel;isPartial
2023-01-01;3;57;1;0;2;False
2023-01-02;3;60;1;0;2;False
2023-01-03;3;85;0;0;1;False
2023-01-04;3;59;0;0;2;False
2023-01-05;3;84;0;0;1;False
2023-01-06;3;59;0;0;1;False
2023-01-07;3;73;1;0;1;False
2023-01-08;4;61;2;0;2;False
2023-01-09;4;58;1;0;1;False
2023-01-10;4;94;0;0;2;False
2023-01-11;4;55;0;0;2;False
2023-01-12;5;84;1;0;1;False
2023-01-13;4;57;0;0;1;False
2023-01-14;3;57;1;0;1;False
2023-01-15;5;93;1;0;1;False
2023-01-16;3;59;2;0;1;False
2023-01-17;4;60;4;0;1;False
2023-01-18;3;100;1;0;2;False
2023-01-19;4;63;1;0;1;False
2023-01-20;3;60;1;0;1;False
2023-01-21;4;87;1;0;1;False
2023-01-22;3;62;2;0;1;False
2023-01-23;4;63;4;0;1;False
2023-01-24;4;98;2;0;1;False
2023-01-25;4;62;0;0;1;False
2023-01-26;5;63;0;0;1;False
2023-01-27;4;75;0;0;1;False
2023-01-28;4;59;0;0;1;False
2023-01-29;6;79;1;0;1;False
2023-01-30;5;65;0;0;2;False
2023-01-31;4;60;0;0;2;False
