date;Australian food and drink;Mammals;HS2;David Duchovny;air travel;isPartial
2023-01-01;0;16;8;0;9;False
2023-01-02;3;9;16;2;11;False
2023-01-03;0;9;11;1;7;False
2023-01-04;0;9;13;0;11;False
2023-01-05;0;7;10;1;9;False
2023-01-06;0;9;12;1;9;False
2023-01-07;1;8;7;0;6;False
2023-01-08;0;9;7;2;10;False
2023-01-09;0;8;8;0;6;False
2023-01-10;1;11;10;0;9;False
2023-01-11;0;6;11;1;11;False
2023-01-12;1;9;13;0;9;False
2023-01-13;0;8;10;2;7;False
2023-01-14;1;7;7;1;7;False
2023-01-15;2;9;7;2;8;False
2023-01-16;0;8;9;2;8;False
2023-01-17;1;7;14;1;7;False
2023-01-18;0;11;11;2;10;False
2023-01-19;0;7;13;1;9;False
2023-01-20;0;9;9;1;7;False
2023-01-21;1;7;8;2;8;False
2023-01-22;0;6;11;0;8;False
2023-01-23;0;9;14;1;9;False
2023-01-24;0;9;10;2;7;False
2023-01-25;0;8;12;2;9;False
2023-01-26;1;7;18;1;8;False
2023-01-27;1;6;100;1;6;False
2023-01-28;0;8;21;7;8;False
2023-01-29;0;8;14;5;7;False
2023-01-30;0;7;17;2;12;False
2023-01-31;0;8;13;3;10;False
