date;Hangover cures;Online abuse;Action and adventure films;Adani Group;air travel;isPartial
2023-01-01;5;16;0;0;76;False
2023-01-02;6;17;0;0;90;False
2023-01-03;0;12;10;23;59;False
2023-01-04;0;8;0;19;89;False
2023-01-05;0;5;0;0;73;False
2023-01-06;0;0;0;0;73;False
2023-01-07;0;9;0;0;53;False
2023-01-08;10;6;8;0;84;False
2023-01-09;0;8;5;0;50;False
2023-01-10;0;5;0;0;79;False
2023-01-11;5;6;0;0;90;False
2023-01-12;0;0;0;0;75;False
2023-01-13;0;0;0;0;60;False
2023-01-14;7;0;0;0;56;False
2023-01-15;0;0;0;0;66;False
2023-01-16;0;0;0;0;68;False
2023-01-17;10;0;0;0;56;False
2023-01-18;0;5;0;15;80;False
2023-01-19;0;13;0;0;73;False
2023-01-20;0;8;0;7;59;False
2023-01-21;0;0;10;0;63;False
2023-01-22;0;0;0;0;70;False
2023-01-23;7;16;0;0;72;False
2023-01-24;0;5;5;0;55;False
2023-01-25;0;12;0;59;75;False
2023-01-26;0;11;0;36;68;False
2023-01-27;0;21;15;59;47;False
2023-01-28;0;9;8;35;66;False
2023-01-29;0;0;0;28;60;False
2023-01-30;0;12;0;41;100;False
2023-01-31;0;12;12;74;84;False
