date;Apple TV+;Slovenia holidays;Angela Rayner;Fringe theatre;air travel;isPartial
2023-01-01;99;1;2;2;12;False
2023-01-02;92;1;0;0;14;False
2023-01-03;78;0;1;0;9;False
2023-01-04;74;0;0;0;14;False
2023-01-05;63;0;4;0;12;False
2023-01-06;63;1;2;1;12;False
2023-01-07;83;2;2;0;8;False
2023-01-08;89;2;2;0;13;False
2023-01-09;54;0;0;0;8;False
2023-01-10;59;1;13;2;12;False
2023-01-11;60;1;12;3;14;False
2023-01-12;61;0;5;1;12;False
2023-01-13;68;0;8;0;9;False
2023-01-14;93;1;4;0;9;False
2023-01-15;84;4;4;0;10;False
2023-01-16;57;0;5;3;11;False
2023-01-17;47;1;3;0;9;False
2023-01-18;56;0;5;0;13;False
2023-01-19;59;0;3;0;11;False
2023-01-20;70;3;5;0;9;False
2023-01-21;100;3;8;0;10;False
2023-01-22;87;2;4;1;11;False
2023-01-23;67;1;7;0;11;False
2023-01-24;61;0;5;0;9;False
2023-01-25;54;1;5;2;12;False
2023-01-26;54;0;5;0;11;False
2023-01-27;63;0;22;0;7;False
2023-01-28;81;3;8;0;10;False
2023-01-29;79;1;5;1;10;False
2023-01-30;62;0;5;0;16;False
2023-01-31;56;0;4;1;13;False
