date;Cuba;LeBron James;brendan fraser;Nato;air travel;isPartial
2023-01-01;47;12;12;23;10;False
2023-01-02;36;11;16;20;11;False
2023-01-03;39;14;14;16;7;False
2023-01-04;35;8;7;17;11;False
2023-01-05;44;10;12;19;9;False
2023-01-06;37;8;13;19;9;False
2023-01-07;47;15;13;16;7;False
2023-01-08;52;18;7;21;11;False
2023-01-09;41;9;9;21;6;False
2023-01-10;37;11;14;19;10;False
2023-01-11;37;9;18;20;11;False
2023-01-12;37;9;11;23;9;False
2023-01-13;42;15;8;20;8;False
2023-01-14;41;9;12;16;7;False
2023-01-15;45;7;16;20;8;False
2023-01-16;35;10;92;23;9;False
2023-01-17;38;14;52;15;7;False
2023-01-18;36;12;26;18;10;False
2023-01-19;31;13;25;20;9;False
2023-01-20;39;11;92;31;7;False
2023-01-21;43;11;78;23;8;False
2023-01-22;35;10;35;19;9;False
2023-01-23;36;13;100;27;9;False
2023-01-24;35;9;54;42;7;False
2023-01-25;34;18;37;36;10;False
2023-01-26;30;23;24;33;9;False
2023-01-27;32;15;65;33;6;False
2023-01-28;39;12;31;26;8;False
2023-01-29;46;16;53;32;8;False
2023-01-30;44;11;24;31;13;False
2023-01-31;31;13;16;31;11;False
