date;Linda Burney;Brighton & Hove Albion;Love & Friendship;Shell;air travel;isPartial
2023-01-01;0;0;0;67;6;False
2023-01-02;0;1;0;70;7;False
2023-01-03;0;2;0;78;4;False
2023-01-04;0;2;0;84;7;False
2023-01-05;0;0;1;80;5;False
2023-01-06;1;1;0;86;6;False
2023-01-07;0;3;0;67;4;False
2023-01-08;0;1;0;73;6;False
2023-01-09;0;0;1;94;4;False
2023-01-10;0;0;0;89;6;False
2023-01-11;0;0;0;89;7;False
2023-01-12;0;0;0;97;6;False
2023-01-13;1;1;0;82;4;False
2023-01-14;0;7;0;73;4;False
2023-01-15;1;1;0;68;5;False
2023-01-16;0;1;0;93;5;False
2023-01-17;0;1;0;88;4;False
2023-01-18;0;3;0;80;6;False
2023-01-19;0;1;0;84;5;False
2023-01-20;0;1;0;77;4;False
2023-01-21;0;5;0;68;5;False
2023-01-22;1;2;0;70;5;False
2023-01-23;0;1;0;100;5;False
2023-01-24;1;1;0;93;4;False
2023-01-25;0;0;0;82;6;False
2023-01-26;0;0;0;75;5;False
2023-01-27;0;0;0;79;4;False
2023-01-28;1;0;0;69;5;False
2023-01-29;0;7;0;71;5;False
2023-01-30;0;2;1;92;8;False
2023-01-31;0;0;0;94;6;False
