date;#MeToo movement;Final Fantasy;Intellectual property;Radio comedy;air travel;isPartial
2023-01-01;0;100;14;5;37;False
2023-01-02;0;83;7;7;44;False
2023-01-03;3;73;14;0;28;False
2023-01-04;0;62;16;0;43;False
2023-01-05;0;68;16;6;35;False
2023-01-06;0;78;18;4;35;False
2023-01-07;0;64;7;5;26;False
2023-01-08;0;72;17;7;41;False
2023-01-09;4;55;23;4;24;False
2023-01-10;0;73;16;5;38;False
2023-01-11;0;64;12;9;43;False
2023-01-12;0;62;14;0;36;False
2023-01-13;12;61;8;7;29;False
2023-01-14;6;67;4;3;27;False
2023-01-15;0;76;13;3;32;False
2023-01-16;0;63;15;0;33;False
2023-01-17;0;63;18;0;27;False
2023-01-18;4;65;17;3;39;False
2023-01-19;0;49;16;3;35;False
2023-01-20;3;59;16;4;29;False
2023-01-21;0;67;6;0;30;False
2023-01-22;0;74;12;7;34;False
2023-01-23;0;61;15;8;35;False
2023-01-24;0;66;15;4;27;False
2023-01-25;0;64;22;4;36;False
2023-01-26;0;62;10;8;33;False
2023-01-27;0;59;10;0;23;False
2023-01-28;0;74;11;3;32;False
2023-01-29;0;70;7;6;29;False
2023-01-30;0;66;17;2;48;False
2023-01-31;0;61;20;7;40;False
