date;Real Madrid;Computer science and IT;Damian Green;Sperm donation;air travel;isPartial
2023-01-01;8;0;0;0;2;False
2023-01-02;7;0;0;0;3;False
2023-01-03;18;0;0;0;2;False
2023-01-04;10;0;0;0;2;False
2023-01-05;8;0;0;0;2;False
2023-01-06;7;0;0;0;2;False
2023-01-07;27;0;0;1;2;False
2023-01-08;10;0;0;1;2;False
2023-01-09;9;0;0;0;1;False
2023-01-10;14;0;0;0;2;False
2023-01-11;35;0;0;0;3;False
2023-01-12;14;0;0;0;2;False
2023-01-13;9;0;0;0;2;False
2023-01-14;15;0;0;0;2;False
2023-01-15;100;0;0;0;2;False
2023-01-16;20;0;0;0;2;False
2023-01-17;9;0;0;0;2;False
2023-01-18;9;0;0;0;2;False
2023-01-19;36;0;0;1;2;False
2023-01-20;15;0;0;0;2;False
2023-01-21;10;0;0;0;2;False
2023-01-22;34;0;0;1;2;False
2023-01-23;11;0;0;1;2;False
2023-01-24;6;1;0;0;2;False
2023-01-25;9;0;0;0;2;False
2023-01-26;70;0;0;0;2;False
2023-01-27;22;0;0;0;1;False
2023-01-28;10;0;0;0;2;False
2023-01-29;33;0;0;0;2;False
2023-01-30;14;0;0;0;3;False
2023-01-31;8;0;0;0;2;False
