date;Food and drink books;Politics;Australia cricket team;royal mail;air travel;isPartial
2023-01-01;0;4;0;39;1;False
2023-01-02;0;5;0;56;2;False
2023-01-03;0;5;0;100;1;False
2023-01-04;0;6;0;97;2;False
2023-01-05;0;7;0;92;1;False
2023-01-06;0;6;0;85;1;False
2023-01-07;0;5;0;49;1;False
2023-01-08;0;5;0;40;1;False
2023-01-09;0;7;0;76;1;False
2023-01-10;0;6;0;74;1;False
2023-01-11;0;7;0;77;2;False
2023-01-12;0;7;0;79;1;False
2023-01-13;0;5;0;66;1;False
2023-01-14;0;4;0;48;1;False
2023-01-15;0;4;0;38;1;False
2023-01-16;0;7;0;79;1;False
2023-01-17;0;6;0;79;1;False
2023-01-18;0;7;0;88;1;False
2023-01-19;0;6;0;69;1;False
2023-01-20;0;5;0;80;1;False
2023-01-21;0;4;0;46;1;False
2023-01-22;0;4;0;38;1;False
2023-01-23;0;6;0;72;1;False
2023-01-24;0;8;0;74;1;False
2023-01-25;0;7;0;79;1;False
2023-01-26;0;6;0;70;1;False
2023-01-27;0;5;0;62;1;False
2023-01-28;0;4;0;43;1;False
2023-01-29;0;5;0;38;1;False
2023-01-30;0;7;0;75;2;False
2023-01-31;0;6;0;72;1;False
