date;Croatia;Philippines;marilyn manson;Nicolas Cage;air travel;isPartial
2023-01-01;92;47;13;13;9;False
2023-01-02;81;55;12;10;11;False
2023-01-03;67;44;5;6;7;False
2023-01-04;66;51;5;6;10;False
2023-01-05;69;53;6;7;9;False
2023-01-06;65;48;5;18;9;False
2023-01-07;80;47;4;17;6;False
2023-01-08;90;56;4;12;10;False
2023-01-09;68;51;4;7;6;False
2023-01-10;69;46;3;8;9;False
2023-01-11;67;48;16;7;10;False
2023-01-12;58;46;13;12;9;False
2023-01-13;64;58;8;41;7;False
2023-01-14;75;47;8;27;7;False
2023-01-15;88;52;7;19;8;False
2023-01-16;59;48;5;9;8;False
2023-01-17;57;45;2;9;7;False
2023-01-18;53;50;4;11;9;False
2023-01-19;64;48;3;7;9;False
2023-01-20;100;43;4;10;7;False
2023-01-21;79;49;4;14;7;False
2023-01-22;89;49;5;13;8;False
2023-01-23;63;42;2;8;8;False
2023-01-24;62;49;3;5;6;False
2023-01-25;60;44;4;4;9;False
2023-01-26;51;44;4;7;8;False
2023-01-27;51;50;4;8;5;False
2023-01-28;63;48;3;11;8;False
2023-01-29;71;47;4;8;7;False
2023-01-30;61;50;8;8;12;False
2023-01-31;51;48;13;6;10;False
