date;Kristalina Georgieva;Sam Bankman-Fried;Feminism;NBA;air travel;isPartial
2023-01-01;0;1;2;100;4;False
2023-01-02;0;1;4;81;5;False
2023-01-03;0;3;4;90;3;False
2023-01-04;0;3;3;62;5;False
2023-01-05;0;1;4;74;4;False
2023-01-06;0;1;3;67;4;False
2023-01-07;0;2;2;74;3;False
2023-01-08;0;0;4;87;5;False
2023-01-09;0;1;4;60;3;False
2023-01-10;0;1;5;59;4;False
2023-01-11;0;1;4;56;5;False
2023-01-12;1;2;4;57;4;False
2023-01-13;0;1;3;76;3;False
2023-01-14;1;0;2;77;3;False
2023-01-15;0;1;3;79;4;False
2023-01-16;0;1;4;79;4;False
2023-01-17;0;0;4;59;3;False
2023-01-18;0;1;4;60;4;False
2023-01-19;0;0;5;72;4;False
2023-01-20;0;0;4;81;3;False
2023-01-21;0;1;2;81;3;False
2023-01-22;0;0;3;75;4;False
2023-01-23;0;0;4;62;4;False
2023-01-24;0;0;5;60;3;False
2023-01-25;1;0;5;68;4;False
2023-01-26;0;1;2;73;4;False
2023-01-27;0;0;3;69;3;False
2023-01-28;0;0;2;78;4;False
2023-01-29;0;0;3;85;3;False
2023-01-30;0;0;4;55;5;False
2023-01-31;1;0;5;59;5;False
