date;Music books;Hertha Berlin;fashion;sir ed davey;air travel;isPartial
2023-01-01;2;0;74;0;5;False
2023-01-02;1;0;89;0;6;False
2023-01-03;2;0;85;0;4;False
2023-01-04;1;0;82;0;6;False
2023-01-05;1;0;84;0;5;False
2023-01-06;1;0;83;0;5;False
2023-01-07;1;0;77;0;3;False
2023-01-08;2;0;96;0;5;False
2023-01-09;2;1;87;0;3;False
2023-01-10;1;0;86;0;5;False
2023-01-11;2;0;86;0;6;False
2023-01-12;1;0;90;0;5;False
2023-01-13;2;0;81;1;4;False
2023-01-14;2;0;85;0;3;False
2023-01-15;2;0;90;0;4;False
2023-01-16;1;1;87;0;4;False
2023-01-17;0;0;86;0;3;False
2023-01-18;0;0;90;0;5;False
2023-01-19;0;2;84;0;5;False
2023-01-20;1;2;85;0;4;False
2023-01-21;2;2;95;0;4;False
2023-01-22;1;1;85;0;4;False
2023-01-23;1;2;99;0;4;False
2023-01-24;1;3;100;0;3;False
2023-01-25;1;0;97;1;5;False
2023-01-26;1;1;88;0;4;False
2023-01-27;1;1;85;0;3;False
2023-01-28;1;2;77;0;4;False
2023-01-29;2;1;87;0;4;False
2023-01-30;0;0;88;1;6;False
2023-01-31;1;1;92;0;5;False
