date;Manston asylum centre;Greta Gerwig;Siblings;Children's books: 8-12 years;air travel;isPartial
2023-01-01;0;19;93;0;29;False
2023-01-02;0;11;86;0;34;False
2023-01-03;0;13;78;0;22;False
2023-01-04;0;8;62;0;33;False
2023-01-05;0;6;72;0;27;False
2023-01-06;0;9;69;0;27;False
2023-01-07;0;7;71;0;20;False
2023-01-08;0;5;79;0;32;False
2023-01-09;0;4;70;0;19;False
2023-01-10;0;2;59;0;30;False
2023-01-11;0;3;61;0;34;False
2023-01-12;0;3;88;0;28;False
2023-01-13;0;8;62;0;22;False
2023-01-14;0;0;100;0;21;False
2023-01-15;0;6;80;0;25;False
2023-01-16;0;2;66;0;26;False
2023-01-17;0;5;62;0;21;False
2023-01-18;0;0;65;0;30;False
2023-01-19;0;3;67;0;27;False
2023-01-20;4;0;70;0;22;False
2023-01-21;0;6;89;0;24;False
2023-01-22;0;5;73;0;26;False
2023-01-23;0;2;65;0;27;False
2023-01-24;0;0;77;0;21;False
2023-01-25;0;2;84;0;28;False
2023-01-26;0;3;67;0;25;False
2023-01-27;0;0;66;0;18;False
2023-01-28;0;0;67;0;25;False
2023-01-29;0;4;86;0;23;False
2023-01-30;0;3;71;0;37;False
2023-01-31;0;2;68;0;31;False
