date;Normal People;Anthony Albanese;Owen Paterson;Perth;air travel;isPartial
2023-01-01;3;0;1;40;3;False
2023-01-02;3;0;0;100;4;False
2023-01-03;3;0;0;58;3;False
2023-01-04;3;0;0;45;4;False
2023-01-05;3;0;0;44;3;False
2023-01-06;2;1;0;46;3;False
2023-01-07;3;0;0;39;2;False
2023-01-08;4;0;0;35;4;False
2023-01-09;2;0;0;38;2;False
2023-01-10;3;0;0;39;3;False
2023-01-11;3;0;1;36;4;False
2023-01-12;3;0;0;37;3;False
2023-01-13;3;0;0;36;3;False
2023-01-14;3;0;0;40;2;False
2023-01-15;3;0;0;35;3;False
2023-01-16;4;0;0;37;3;False
2023-01-17;2;0;0;35;2;False
2023-01-18;3;0;0;36;3;False
2023-01-19;3;1;0;33;3;False
2023-01-20;3;0;0;35;3;False
2023-01-21;3;0;1;39;3;False
2023-01-22;3;0;0;35;3;False
2023-01-23;3;0;0;35;3;False
2023-01-24;5;0;0;37;2;False
2023-01-25;4;0;0;38;3;False
2023-01-26;2;0;1;35;3;False
2023-01-27;4;0;0;36;2;False
2023-01-28;5;0;0;38;3;False
2023-01-29;5;0;0;37;3;False
2023-01-30;5;0;0;34;4;False
2023-01-31;3;0;0;33;4;False
