date;west sussex;Nine Entertainment;SBS;Bob Woodward;air travel;isPartial
2023-01-01;85;0;6;3;24;False
2023-01-02;83;0;14;0;28;False
2023-01-03;91;0;21;0;18;False
2023-01-04;94;0;14;2;28;False
2023-01-05;86;3;14;0;23;False
2023-01-06;77;4;14;0;23;False
2023-01-07;75;0;10;0;17;False
2023-01-08;68;0;14;2;26;False
2023-01-09;88;0;16;0;16;False
2023-01-10;88;0;15;0;25;False
2023-01-11;90;0;17;0;28;False
2023-01-12;96;4;15;0;23;False
2023-01-13;88;0;12;0;19;False
2023-01-14;76;0;9;0;17;False
2023-01-15;81;0;11;0;21;False
2023-01-16;92;0;11;0;21;False
2023-01-17;99;0;16;5;17;False
2023-01-18;86;0;15;0;25;False
2023-01-19;76;0;18;0;23;False
2023-01-20;88;0;10;2;18;False
2023-01-21;65;0;8;0;20;False
2023-01-22;63;5;9;2;22;False
2023-01-23;91;0;11;0;22;False
2023-01-24;87;0;14;0;17;False
2023-01-25;84;0;16;0;23;False
2023-01-26;89;0;21;0;21;False
2023-01-27;73;0;14;0;15;False
2023-01-28;66;2;9;1;21;False
2023-01-29;73;0;14;3;19;False
2023-01-30;82;2;13;2;31;False
2023-01-31;100;0;9;0;26;False
