date;Non-fungible tokens (NFTs);Plastics;UK job furlough scheme;Goodfellas;air travel;isPartial
2023-01-01;0;29;0;51;27;False
2023-01-02;0;34;0;35;32;False
2023-01-03;0;60;0;27;21;False
2023-01-04;0;60;0;23;31;False
2023-01-05;0;55;0;30;26;False
2023-01-06;0;50;0;22;26;False
2023-01-07;0;25;0;28;19;False
2023-01-08;0;34;0;29;30;False
2023-01-09;0;70;0;16;18;False
2023-01-10;0;64;0;19;28;False
2023-01-11;0;54;0;13;32;False
2023-01-12;0;72;0;14;26;False
2023-01-13;0;58;0;17;21;False
2023-01-14;0;35;0;28;20;False
2023-01-15;0;27;0;17;23;False
2023-01-16;0;58;0;17;24;False
2023-01-17;0;100;0;22;20;False
2023-01-18;0;70;0;15;28;False
2023-01-19;0;69;0;18;26;False
2023-01-20;0;70;0;15;21;False
2023-01-21;0;34;0;28;22;False
2023-01-22;0;29;0;21;25;False
2023-01-23;0;71;0;21;26;False
2023-01-24;0;73;0;15;20;False
2023-01-25;0;54;0;18;27;False
2023-01-26;0;63;0;17;24;False
2023-01-27;0;47;0;16;17;False
2023-01-28;0;26;0;22;23;False
2023-01-29;0;30;0;14;21;False
2023-01-30;0;67;0;12;35;False
2023-01-31;0;72;0;18;30;False
