date;European Central Bank;DIY;Sociology;apple;air travel;isPartial
2023-01-01;0;10;1;96;1;False
2023-01-02;0;11;2;98;1;False
2023-01-03;0;9;3;94;1;False
2023-01-04;0;9;3;90;1;False
2023-01-05;0;9;3;86;1;False
2023-01-06;0;9;2;82;1;False
2023-01-07;0;10;2;87;1;False
2023-01-08;0;11;2;100;1;False
2023-01-09;0;9;4;85;1;False
2023-01-10;0;9;4;77;1;False
2023-01-11;0;8;4;80;1;False
2023-01-12;0;9;3;84;1;False
2023-01-13;0;8;3;82;1;False
2023-01-14;0;10;1;86;1;False
2023-01-15;0;11;2;93;1;False
2023-01-16;0;9;4;78;1;False
2023-01-17;0;9;3;78;1;False
2023-01-18;0;8;4;82;1;False
2023-01-19;0;9;4;79;1;False
2023-01-20;0;10;3;82;1;False
2023-01-21;0;12;2;95;1;False
2023-01-22;0;11;2;86;1;False
2023-01-23;0;9;4;85;1;False
2023-01-24;0;9;4;85;1;False
2023-01-25;0;9;4;80;1;False
2023-01-26;0;9;4;83;1;False
2023-01-27;0;8;3;69;1;False
2023-01-28;0;10;1;85;1;False
2023-01-29;0;11;2;83;1;False
2023-01-30;0;10;4;82;1;False
2023-01-31;0;9;4;76;1;False
