date;Cetaceans;Child protection;Royal Welsh College of Music and Drama;Drugs trade;air travel;isPartial
2023-01-01;0;21;18;0;76;False
2023-01-02;8;26;6;0;90;False
2023-01-03;4;58;0;0;59;False
2023-01-04;6;41;0;0;89;False
2023-01-05;0;54;0;0;73;False
2023-01-06;6;51;0;0;73;False
2023-01-07;8;22;0;0;53;False
2023-01-08;12;38;0;0;84;False
2023-01-09;5;35;0;0;50;False
2023-01-10;8;55;27;8;79;False
2023-01-11;0;61;0;0;90;False
2023-01-12;9;45;5;0;75;False
2023-01-13;0;53;10;0;60;False
2023-01-14;0;55;0;0;56;False
2023-01-15;0;44;18;0;66;False
2023-01-16;0;59;0;0;68;False
2023-01-17;0;75;7;0;56;False
2023-01-18;0;54;0;0;80;False
2023-01-19;20;57;0;15;73;False
2023-01-20;7;61;5;0;59;False
2023-01-21;8;28;0;0;63;False
2023-01-22;0;35;0;17;70;False
2023-01-23;11;74;0;6;72;False
2023-01-24;0;57;0;15;55;False
2023-01-25;0;61;0;0;75;False
2023-01-26;0;73;11;0;68;False
2023-01-27;0;53;0;5;47;False
2023-01-28;6;32;14;0;66;False
2023-01-29;0;32;0;0;60;False
2023-01-30;0;63;0;0;100;False
2023-01-31;0;65;6;0;84;False
