date;Ireland rugby union team;Gogglebox;MLS;UK city of culture;air travel;isPartial
2023-01-01;0;74;25;0;20;False
2023-01-02;0;100;33;0;24;False
2023-01-03;0;54;25;0;16;False
2023-01-04;0;45;27;0;24;False
2023-01-05;0;30;38;3;20;False
2023-01-06;0;77;25;0;20;False
2023-01-07;0;51;31;0;14;False
2023-01-08;2;47;24;2;23;False
2023-01-09;0;31;42;1;13;False
2023-01-10;0;22;37;2;21;False
2023-01-11;0;29;21;0;24;False
2023-01-12;0;32;26;2;20;False
2023-01-13;0;56;22;0;16;False
2023-01-14;0;93;28;0;15;False
2023-01-15;0;44;18;0;18;False
2023-01-16;0;26;24;0;18;False
2023-01-17;0;24;22;0;15;False
2023-01-18;0;22;27;0;21;False
2023-01-19;0;24;26;0;19;False
2023-01-20;0;61;25;2;16;False
2023-01-21;0;46;30;2;17;False
2023-01-22;0;35;29;0;19;False
2023-01-23;0;29;30;0;19;False
2023-01-24;0;34;40;0;15;False
2023-01-25;0;18;22;0;20;False
2023-01-26;0;27;21;3;18;False
2023-01-27;0;46;22;0;13;False
2023-01-28;0;34;25;0;18;False
2023-01-29;0;36;26;2;16;False
2023-01-30;0;42;23;0;27;False
2023-01-31;0;22;33;0;22;False
