date;health;Microbiology;Sonia Boyce;Inflation;air travel;isPartial
2023-01-01;39;0;0;2;1;False
2023-01-02;59;0;0;4;1;False
2023-01-03;86;0;0;5;1;False
2023-01-04;78;0;0;6;1;False
2023-01-05;79;0;0;5;1;False
2023-01-06;73;0;0;5;1;False
2023-01-07;46;0;0;3;1;False
2023-01-08;52;0;0;4;1;False
2023-01-09;79;0;0;5;1;False
2023-01-10;80;0;0;5;1;False
2023-01-11;80;0;0;5;1;False
2023-01-12;87;1;0;8;1;False
2023-01-13;69;0;0;5;1;False
2023-01-14;48;0;0;3;1;False
2023-01-15;55;0;0;3;1;False
2023-01-16;77;0;0;5;1;False
2023-01-17;82;0;0;6;1;False
2023-01-18;83;0;0;9;1;False
2023-01-19;74;0;0;6;1;False
2023-01-20;73;0;0;5;1;False
2023-01-21;47;0;0;3;1;False
2023-01-22;49;0;0;3;1;False
2023-01-23;81;0;0;5;1;False
2023-01-24;100;0;0;5;1;False
2023-01-25;80;1;0;4;1;False
2023-01-26;77;1;0;5;1;False
2023-01-27;67;0;0;4;0;False
2023-01-28;44;0;0;3;1;False
2023-01-29;50;0;0;3;1;False
2023-01-30;89;0;0;5;1;False
2023-01-31;81;0;0;5;1;False
