date;Contaminated blood scandal;Bad Bunny;education;Leftovers;air travel;isPartial
2023-01-01;0;2;42;3;3;False
2023-01-02;0;2;52;3;4;False
2023-01-03;0;3;76;2;3;False
2023-01-04;0;2;79;2;4;False
2023-01-05;0;2;77;1;3;False
2023-01-06;0;2;75;1;3;False
2023-01-07;0;1;48;1;2;False
2023-01-08;0;0;60;2;4;False
2023-01-09;0;1;86;1;2;False
2023-01-10;0;3;91;2;3;False
2023-01-11;0;2;87;0;4;False
2023-01-12;0;2;90;1;3;False
2023-01-13;0;2;71;2;3;False
2023-01-14;0;2;54;1;2;False
2023-01-15;0;1;66;2;3;False
2023-01-16;0;0;91;1;3;False
2023-01-17;0;0;95;1;2;False
2023-01-18;0;1;93;1;4;False
2023-01-19;0;1;84;1;3;False
2023-01-20;0;1;82;1;3;False
2023-01-21;0;2;54;1;3;False
2023-01-22;0;1;63;2;3;False
2023-01-23;0;1;90;2;3;False
2023-01-24;0;2;100;1;2;False
2023-01-25;0;1;88;1;3;False
2023-01-26;0;0;78;1;3;False
2023-01-27;0;1;77;1;2;False
2023-01-28;0;1;47;2;3;False
2023-01-29;0;1;62;2;3;False
2023-01-30;0;0;89;1;4;False
2023-01-31;0;1;83;1;4;False
