date;Williams;Calais;Canada;Ronny Jackson;air travel;isPartial
2023-01-01;87;7;78;0;3;False
2023-01-02;67;8;78;0;3;False
2023-01-03;72;6;74;0;2;False
2023-01-04;70;7;77;0;3;False
2023-01-05;66;6;69;0;3;False
2023-01-06;67;6;72;0;3;False
2023-01-07;80;8;67;0;2;False
2023-01-08;70;7;76;0;3;False
2023-01-09;66;6;68;0;2;False
2023-01-10;64;6;71;0;3;False
2023-01-11;73;5;67;0;3;False
2023-01-12;82;5;74;0;3;False
2023-01-13;66;5;67;0;2;False
2023-01-14;72;6;66;0;2;False
2023-01-15;100;9;65;0;3;False
2023-01-16;70;7;68;0;3;False
2023-01-17;67;6;68;0;2;False
2023-01-18;68;6;71;0;3;False
2023-01-19;61;6;65;0;3;False
2023-01-20;87;5;67;0;2;False
2023-01-21;83;7;72;0;2;False
2023-01-22;69;7;71;0;3;False
2023-01-23;65;6;72;0;3;False
2023-01-24;70;5;65;0;2;False
2023-01-25;62;6;69;0;3;False
2023-01-26;64;7;64;0;3;False
2023-01-27;65;5;61;0;2;False
2023-01-28;65;7;68;0;3;False
2023-01-29;65;6;76;0;2;False
2023-01-30;65;6;66;0;4;False
2023-01-31;74;5;64;0;3;False
