date;Guardian Media Group;British Museum;social media;Shares;air travel;isPartial
2023-01-01;0;27;31;37;6;False
2023-01-02;0;20;37;45;8;False
2023-01-03;2;17;44;80;5;False
2023-01-04;0;19;49;89;8;False
2023-01-05;0;16;50;87;6;False
2023-01-06;0;16;41;97;6;False
2023-01-07;0;19;31;47;5;False
2023-01-08;0;20;35;46;7;False
2023-01-09;0;14;52;84;4;False
2023-01-10;0;16;50;91;7;False
2023-01-11;1;16;45;85;8;False
2023-01-12;0;18;53;100;6;False
2023-01-13;0;17;45;90;5;False
2023-01-14;0;21;35;49;5;False
2023-01-15;0;17;32;47;6;False
2023-01-16;0;15;52;91;6;False
2023-01-17;0;17;52;88;5;False
2023-01-18;0;15;55;86;7;False
2023-01-19;0;17;47;80;6;False
2023-01-20;0;19;47;83;5;False
2023-01-21;0;20;30;49;5;False
2023-01-22;0;19;33;42;6;False
2023-01-23;0;16;50;88;6;False
2023-01-24;0;17;59;92;5;False
2023-01-25;1;14;44;88;6;False
2023-01-26;0;13;44;89;6;False
2023-01-27;1;19;41;84;4;False
2023-01-28;0;21;30;45;6;False
2023-01-29;0;20;36;47;5;False
2023-01-30;1;17;50;92;8;False
2023-01-31;0;15;48;98;7;False
