date;Darts;Boston Celtics;Crime films;Derby County;air travel;isPartial
2023-01-01;84;0;0;3;1;False
2023-01-02;78;0;0;9;1;False
2023-01-03;100;0;0;3;1;False
2023-01-04;33;0;0;3;1;False
2023-01-05;13;0;0;3;1;False
2023-01-06;11;1;0;3;1;False
2023-01-07;12;0;0;3;1;False
2023-01-08;11;0;0;10;1;False
2023-01-09;10;0;0;3;1;False
2023-01-10;10;0;0;2;1;False
2023-01-11;10;0;0;3;1;False
2023-01-12;16;1;0;2;1;False
2023-01-13;18;0;0;3;1;False
2023-01-14;12;0;0;7;1;False
2023-01-15;10;0;0;3;1;False
2023-01-16;7;0;0;3;1;False
2023-01-17;7;0;0;3;1;False
2023-01-18;6;0;0;3;1;False
2023-01-19;7;0;0;3;1;False
2023-01-20;11;1;0;3;1;False
2023-01-21;21;0;0;10;1;False
2023-01-22;12;0;0;3;1;False
2023-01-23;7;0;0;3;1;False
2023-01-24;6;0;0;8;1;False
2023-01-25;7;0;0;5;1;False
2023-01-26;7;0;0;2;1;False
2023-01-27;14;0;0;3;0;False
2023-01-28;21;0;0;3;1;False
2023-01-29;31;0;0;3;1;False
2023-01-30;17;0;0;21;1;False
2023-01-31;8;0;0;7;1;False
