date;x factor;Greenpeace;Chris Hipkins;George Ezra;air travel;isPartial
2023-01-01;26;1;0;100;9;False
2023-01-02;16;2;0;13;10;False
2023-01-03;13;2;0;7;7;False
2023-01-04;13;3;0;6;10;False
2023-01-05;11;1;0;7;8;False
2023-01-06;15;3;2;9;8;False
2023-01-07;29;1;0;7;6;False
2023-01-08;19;0;0;6;10;False
2023-01-09;13;1;0;6;6;False
2023-01-10;11;2;0;7;9;False
2023-01-11;9;1;0;7;10;False
2023-01-12;10;2;1;45;8;False
2023-01-13;17;4;1;32;7;False
2023-01-14;21;0;0;32;6;False
2023-01-15;20;3;0;24;8;False
2023-01-16;14;1;0;18;8;False
2023-01-17;15;3;0;29;6;False
2023-01-18;12;1;1;17;9;False
2023-01-19;16;2;1;15;8;False
2023-01-20;13;2;14;21;7;False
2023-01-21;31;3;10;92;7;False
2023-01-22;20;2;0;31;8;False
2023-01-23;16;2;2;17;8;False
2023-01-24;11;2;1;18;6;False
2023-01-25;20;2;3;12;9;False
2023-01-26;17;2;1;13;8;False
2023-01-27;16;2;0;14;5;False
2023-01-28;37;1;1;17;7;False
2023-01-29;18;0;1;14;7;False
2023-01-30;11;2;1;12;11;False
2023-01-31;14;5;1;11;10;False
