date;pakistan;Blogging;Rachel Whiteread;Rory McIlroy;air travel;isPartial
2023-01-01;54;1;0;3;3;False
2023-01-02;83;0;0;1;4;False
2023-01-03;80;0;0;1;3;False
2023-01-04;78;1;0;1;4;False
2023-01-05;86;0;0;1;3;False
2023-01-06;97;0;1;1;3;False
2023-01-07;50;0;0;1;2;False
2023-01-08;53;1;0;3;4;False
2023-01-09;97;1;0;1;2;False
2023-01-10;60;1;0;1;4;False
2023-01-11;93;1;0;0;4;False
2023-01-12;62;0;0;2;3;False
2023-01-13;100;1;0;1;3;False
2023-01-14;53;0;0;1;3;False
2023-01-15;51;0;0;1;3;False
2023-01-16;57;0;0;1;3;False
2023-01-17;48;0;0;1;3;False
2023-01-18;50;0;1;1;4;False
2023-01-19;51;0;0;2;3;False
2023-01-20;52;1;1;1;3;False
2023-01-21;56;1;0;2;3;False
2023-01-22;53;1;0;2;3;False
2023-01-23;63;1;1;2;3;False
2023-01-24;65;0;0;2;2;False
2023-01-25;57;0;0;11;3;False
2023-01-26;80;0;0;11;3;False
2023-01-27;83;0;0;10;2;False
2023-01-28;76;0;0;10;3;False
2023-01-29;75;1;0;16;3;False
2023-01-30;82;1;0;22;5;False
2023-01-31;76;0;0;6;4;False
