date;new york;Public services policy;Sea ice;The art market;air travel;isPartial
2023-01-01;100;0;0;0;2;False
2023-01-02;83;0;1;0;3;False
2023-01-03;75;0;0;0;2;False
2023-01-04;73;0;0;0;3;False
2023-01-05;73;0;0;1;2;False
2023-01-06;76;0;0;0;2;False
2023-01-07;74;0;0;0;2;False
2023-01-08;83;0;1;0;3;False
2023-01-09;73;0;1;0;1;False
2023-01-10;75;0;1;0;2;False
2023-01-11;70;0;1;0;3;False
2023-01-12;74;0;0;0;2;False
2023-01-13;79;0;0;0;2;False
2023-01-14;74;0;0;0;2;False
2023-01-15;82;0;0;0;2;False
2023-01-16;73;0;1;0;2;False
2023-01-17;69;0;0;0;2;False
2023-01-18;67;0;1;0;2;False
2023-01-19;66;0;0;0;2;False
2023-01-20;71;0;1;0;2;False
2023-01-21;76;0;0;0;2;False
2023-01-22;81;0;1;1;2;False
2023-01-23;74;0;1;0;2;False
2023-01-24;70;0;0;0;2;False
2023-01-25;69;0;0;1;2;False
2023-01-26;65;0;0;0;2;False
2023-01-27;67;0;0;0;1;False
2023-01-28;68;0;0;0;2;False
2023-01-29;79;0;1;0;2;False
2023-01-30;68;0;0;0;3;False
2023-01-31;67;0;1;0;2;False
