date;canada;narendra modi;Cocktails;M3gan;air travel;isPartial
2023-01-01;99;1;16;5;4;False
2023-01-02;100;1;11;5;4;False
2023-01-03;94;0;11;6;3;False
2023-01-04;98;0;10;8;4;False
2023-01-05;88;0;10;14;4;False
2023-01-06;92;1;16;19;4;False
2023-01-07;86;0;21;17;3;False
2023-01-08;97;0;14;18;4;False
2023-01-09;86;1;10;19;2;False
2023-01-10;90;0;12;19;4;False
2023-01-11;86;0;10;12;4;False
2023-01-12;95;0;13;17;4;False
2023-01-13;86;0;16;27;3;False
2023-01-14;84;1;24;30;3;False
2023-01-15;83;0;18;23;3;False
2023-01-16;87;0;12;15;3;False
2023-01-17;86;2;11;11;3;False
2023-01-18;91;1;13;10;4;False
2023-01-19;84;2;12;14;4;False
2023-01-20;86;1;20;16;3;False
2023-01-21;92;1;22;23;3;False
2023-01-22;91;2;12;16;3;False
2023-01-23;92;1;11;9;4;False
2023-01-24;83;1;12;12;3;False
2023-01-25;88;1;13;12;4;False
2023-01-26;81;1;13;10;3;False
2023-01-27;78;1;16;16;2;False
2023-01-28;87;0;22;17;3;False
2023-01-29;97;0;14;14;3;False
2023-01-30;85;0;13;7;5;False
2023-01-31;81;0;12;6;4;False
