date;los angeles;Internazionale;kylie minogue;Pep Guardiola;air travel;isPartial
2023-01-01;58;0;24;8;13;False
2023-01-02;51;0;33;6;15;False
2023-01-03;57;0;9;6;10;False
2023-01-04;47;1;7;3;15;False
2023-01-05;51;0;11;17;12;False
2023-01-06;54;0;13;10;12;False
2023-01-07;53;2;15;6;9;False
2023-01-08;71;0;5;17;14;False
2023-01-09;57;1;13;7;8;False
2023-01-10;66;2;8;7;13;False
2023-01-11;60;0;11;17;15;False
2023-01-12;62;0;11;10;13;False
2023-01-13;46;0;11;5;10;False
2023-01-14;53;2;32;32;9;False
2023-01-15;66;0;100;11;11;False
2023-01-16;51;2;12;14;12;False
2023-01-17;51;0;11;5;9;False
2023-01-18;52;1;9;15;14;False
2023-01-19;45;1;10;25;12;False
2023-01-20;53;0;17;20;10;False
2023-01-21;70;0;34;8;11;False
2023-01-22;91;4;14;14;12;False
2023-01-23;75;0;10;12;12;False
2023-01-24;51;1;8;7;9;False
2023-01-25;54;0;10;5;13;False
2023-01-26;46;0;14;11;11;False
2023-01-27;41;1;16;39;8;False
2023-01-28;49;1;56;14;11;False
2023-01-29;64;2;20;13;10;False
2023-01-30;56;2;11;11;17;False
2023-01-31;60;1;13;12;14;False
