date;scottish independence;Public sector pay;Global education;gchq;air travel;isPartial
2023-01-01;8;0;5;63;76;False
2023-01-02;15;0;17;41;90;False
2023-01-03;9;0;0;41;59;False
2023-01-04;14;5;0;50;89;False
2023-01-05;23;7;16;36;73;False
2023-01-06;15;10;0;38;73;False
2023-01-07;27;5;0;52;53;False
2023-01-08;15;5;0;34;84;False
2023-01-09;23;0;10;35;50;False
2023-01-10;20;9;10;26;79;False
2023-01-11;7;0;24;26;90;False
2023-01-12;7;6;0;32;75;False
2023-01-13;29;6;16;22;60;False
2023-01-14;27;0;0;12;56;False
2023-01-15;30;16;0;21;66;False
2023-01-16;33;0;13;25;68;False
2023-01-17;14;0;13;35;56;False
2023-01-18;23;13;11;30;80;False
2023-01-19;22;16;16;29;73;False
2023-01-20;26;18;6;54;59;False
2023-01-21;89;5;14;30;63;False
2023-01-22;20;0;0;22;70;False
2023-01-23;22;0;0;28;72;False
2023-01-24;18;0;5;71;55;False
2023-01-25;24;20;11;36;75;False
2023-01-26;24;0;0;51;68;False
2023-01-27;9;8;0;44;47;False
2023-01-28;9;10;0;18;66;False
2023-01-29;17;15;0;30;60;False
2023-01-30;21;19;6;23;100;False
2023-01-31;16;19;9;43;84;False
