date;Endangered habitats;Paul McCartney;Restaurants;Secondary schools;air travel;isPartial
2023-01-01;0;3;70;1;1;False
2023-01-02;0;2;75;1;2;False
2023-01-03;0;1;60;2;1;False
2023-01-04;0;1;58;2;2;False
2023-01-05;0;1;57;2;1;False
2023-01-06;0;2;62;2;1;False
2023-01-07;0;3;78;1;1;False
2023-01-08;0;3;64;2;2;False
2023-01-09;0;1;57;2;1;False
2023-01-10;0;1;59;2;1;False
2023-01-11;0;1;54;2;2;False
2023-01-12;0;2;63;2;1;False
2023-01-13;0;2;66;2;1;False
2023-01-14;0;3;87;2;1;False
2023-01-15;0;4;69;1;1;False
2023-01-16;0;2;57;2;1;False
2023-01-17;0;2;56;2;1;False
2023-01-18;0;1;56;2;1;False
2023-01-19;0;2;58;3;1;False
2023-01-20;0;2;68;2;1;False
2023-01-21;0;4;90;2;1;False
2023-01-22;0;2;68;2;1;False
2023-01-23;0;2;62;2;1;False
2023-01-24;0;1;60;2;1;False
2023-01-25;0;2;57;2;1;False
2023-01-26;0;2;57;2;1;False
2023-01-27;0;2;68;2;1;False
2023-01-28;0;2;100;2;1;False
2023-01-29;0;2;70;1;1;False
2023-01-30;0;2;61;2;2;False
2023-01-31;0;2;60;3;2;False
