date;Workers' rights;Banking reform;Nevada;Australia holidays;air travel;isPartial
2023-01-01;5;0;68;30;49;False
2023-01-02;3;0;70;29;58;False
2023-01-03;5;0;100;26;37;False
2023-01-04;10;0;91;31;56;False
2023-01-05;7;0;72;19;46;False
2023-01-06;3;0;65;15;47;False
2023-01-07;4;0;54;20;34;False
2023-01-08;0;0;60;21;54;False
2023-01-09;5;5;53;29;32;False
2023-01-10;8;0;50;15;50;False
2023-01-11;0;0;54;20;57;False
2023-01-12;4;0;47;19;47;False
2023-01-13;0;0;49;13;38;False
2023-01-14;9;0;56;18;36;False
2023-01-15;4;6;52;18;42;False
2023-01-16;0;0;63;24;44;False
2023-01-17;7;4;60;13;35;False
2023-01-18;3;0;54;17;51;False
2023-01-19;0;0;52;15;46;False
2023-01-20;8;0;48;13;38;False
2023-01-21;0;0;41;25;40;False
2023-01-22;0;0;58;27;45;False
2023-01-23;0;4;41;23;46;False
2023-01-24;11;0;64;15;35;False
2023-01-25;8;0;58;24;48;False
2023-01-26;14;0;46;18;43;False
2023-01-27;8;0;45;23;30;False
2023-01-28;3;0;56;15;42;False
2023-01-29;4;0;63;17;38;False
2023-01-30;5;0;51;14;64;False
2023-01-31;8;0;40;19;53;False
