date;The Good Nurse;Mortgage arrears;Gluten-free;Entertainment TV;air travel;isPartial
2023-01-01;100;0;19;22;70;False
2023-01-02;50;0;16;18;83;False
2023-01-03;37;0;0;20;54;False
2023-01-04;33;6;16;25;81;False
2023-01-05;34;8;14;12;67;False
2023-01-06;42;0;0;18;67;False
2023-01-07;38;0;15;23;49;False
2023-01-08;30;0;18;33;77;False
2023-01-09;21;0;15;19;46;False
2023-01-10;25;13;0;21;72;False
2023-01-11;55;8;10;22;82;False
2023-01-12;13;9;16;22;68;False
2023-01-13;40;5;0;15;55;False
2023-01-14;52;0;5;21;51;False
2023-01-15;39;0;23;32;61;False
2023-01-16;28;7;18;48;63;False
2023-01-17;7;0;10;24;51;False
2023-01-18;17;0;0;25;73;False
2023-01-19;21;0;20;24;67;False
2023-01-20;39;0;15;28;54;False
2023-01-21;38;7;8;28;58;False
2023-01-22;25;7;20;28;64;False
2023-01-23;18;11;23;39;66;False
2023-01-24;12;0;17;25;50;False
2023-01-25;0;0;15;11;69;False
2023-01-26;4;0;5;25;62;False
2023-01-27;33;0;17;26;43;False
2023-01-28;53;0;16;34;60;False
2023-01-29;36;0;26;20;55;False
2023-01-30;17;5;13;11;92;False
2023-01-31;0;9;7;22;77;False
