date;Tampa Bay Buccaneers;Home insurance;Smoking;Football politics;air travel;isPartial
2023-01-01;6;26;81;0;9;False
2023-01-02;2;33;94;1;10;False
2023-01-03;2;53;89;0;7;False
2023-01-04;2;51;88;1;10;False
2023-01-05;1;44;84;1;8;False
2023-01-06;1;42;86;0;8;False
2023-01-07;1;29;80;0;6;False
2023-01-08;3;33;88;0;9;False
2023-01-09;5;41;84;0;6;False
2023-01-10;1;40;84;1;9;False
2023-01-11;2;41;87;0;10;False
2023-01-12;1;43;79;1;8;False
2023-01-13;3;36;80;2;7;False
2023-01-14;1;37;72;0;6;False
2023-01-15;3;32;87;1;7;False
2023-01-16;5;50;90;0;8;False
2023-01-17;11;37;80;0;6;False
2023-01-18;2;43;94;1;9;False
2023-01-19;2;35;100;0;8;False
2023-01-20;0;36;86;0;7;False
2023-01-21;1;31;85;0;7;False
2023-01-22;2;29;77;1;8;False
2023-01-23;0;43;83;1;8;False
2023-01-24;2;37;84;0;6;False
2023-01-25;1;34;81;0;8;False
2023-01-26;0;33;79;1;8;False
2023-01-27;1;36;76;1;5;False
2023-01-28;2;29;75;0;7;False
2023-01-29;0;30;78;2;7;False
2023-01-30;1;39;81;1;11;False
2023-01-31;0;42;83;0;9;False
