date;bosnia;Violence against women and girls;Alexis Tsipras;margot robbie;air travel;isPartial
2023-01-01;5;0;0;21;8;False
2023-01-02;6;0;0;21;9;False
2023-01-03;5;0;1;12;6;False
2023-01-04;5;0;0;11;9;False
2023-01-05;5;0;0;14;7;False
2023-01-06;6;0;0;14;7;False
2023-01-07;6;1;0;16;5;False
2023-01-08;6;1;1;24;9;False
2023-01-09;7;0;0;22;5;False
2023-01-10;5;0;0;19;8;False
2023-01-11;6;1;0;28;9;False
2023-01-12;4;0;0;34;8;False
2023-01-13;4;0;0;100;6;False
2023-01-14;3;1;0;71;6;False
2023-01-15;5;0;1;37;7;False
2023-01-16;5;1;0;37;7;False
2023-01-17;4;0;0;33;6;False
2023-01-18;5;0;0;25;8;False
2023-01-19;5;0;0;28;7;False
2023-01-20;6;0;0;39;6;False
2023-01-21;6;0;0;32;6;False
2023-01-22;3;1;0;32;7;False
2023-01-23;4;0;0;20;7;False
2023-01-24;6;3;0;45;6;False
2023-01-25;5;0;0;37;8;False
2023-01-26;3;0;0;24;7;False
2023-01-27;9;0;0;21;5;False
2023-01-28;4;0;0;22;7;False
2023-01-29;4;0;0;19;6;False
2023-01-30;5;0;0;22;10;False
2023-01-31;4;0;0;16;9;False
