date;Tencent;Paul Auster;The Independent;Colonialism;air travel;isPartial
2023-01-01;5;0;68;6;33;False
2023-01-02;9;0;65;9;39;False
2023-01-03;8;0;62;0;25;False
2023-01-04;0;0;91;7;38;False
2023-01-05;8;3;90;9;31;False
2023-01-06;14;3;81;12;31;False
2023-01-07;4;0;60;9;23;False
2023-01-08;2;4;80;9;36;False
2023-01-09;4;0;93;17;21;False
2023-01-10;11;0;99;11;34;False
2023-01-11;7;0;92;11;38;False
2023-01-12;13;0;82;15;32;False
2023-01-13;8;0;75;8;26;False
2023-01-14;4;0;68;7;24;False
2023-01-15;3;3;74;8;28;False
2023-01-16;13;3;81;13;29;False
2023-01-17;9;0;86;13;24;False
2023-01-18;13;4;89;12;34;False
2023-01-19;8;0;97;13;31;False
2023-01-20;4;0;80;14;25;False
2023-01-21;3;3;78;11;27;False
2023-01-22;3;0;76;7;30;False
2023-01-23;13;0;100;20;31;False
2023-01-24;5;0;92;8;24;False
2023-01-25;6;0;76;10;32;False
2023-01-26;6;0;74;13;29;False
2023-01-27;0;0;78;10;20;False
2023-01-28;3;0;51;10;28;False
2023-01-29;3;0;80;8;26;False
2023-01-30;13;0;87;11;43;False
2023-01-31;0;3;82;12;36;False
