date;Bolton;Billy Elliot;southampton;Vietnam;air travel;isPartial
2023-01-01;21;1;28;6;1;False
2023-01-02;25;1;30;7;1;False
2023-01-03;21;0;29;6;1;False
2023-01-04;20;0;51;6;1;False
2023-01-05;19;0;31;5;1;False
2023-01-06;21;1;29;6;1;False
2023-01-07;24;1;40;6;1;False
2023-01-08;19;0;28;6;1;False
2023-01-09;21;0;27;6;1;False
2023-01-10;25;0;29;5;1;False
2023-01-11;20;0;100;5;1;False
2023-01-12;21;0;45;7;1;False
2023-01-13;20;0;29;5;1;False
2023-01-14;23;0;48;5;1;False
2023-01-15;20;0;30;6;1;False
2023-01-16;21;0;30;6;1;False
2023-01-17;20;0;28;6;1;False
2023-01-18;21;0;28;5;1;False
2023-01-19;21;0;27;5;1;False
2023-01-20;23;0;29;5;1;False
2023-01-21;26;0;49;6;1;False
2023-01-22;19;0;27;7;1;False
2023-01-23;20;0;29;6;1;False
2023-01-24;24;0;78;5;1;False
2023-01-25;20;0;34;5;1;False
2023-01-26;20;0;25;5;1;False
2023-01-27;21;0;30;5;1;False
2023-01-28;26;0;41;5;1;False
2023-01-29;20;0;28;6;1;False
2023-01-30;21;0;30;5;1;False
2023-01-31;21;0;79;5;1;False
