date;Flybe;sharon osbourne;Almeida theatre;Travel;air travel;isPartial
2023-01-01;1;0;0;72;1;False
2023-01-02;1;0;0;94;1;False
2023-01-03;1;0;0;95;1;False
2023-01-04;2;1;0;98;1;False
2023-01-05;1;1;0;92;1;False
2023-01-06;1;1;1;89;1;False
2023-01-07;1;0;0;85;1;False
2023-01-08;2;0;0;95;1;False
2023-01-09;1;8;0;99;1;False
2023-01-10;1;3;1;97;1;False
2023-01-11;1;1;0;92;1;False
2023-01-12;1;1;0;96;1;False
2023-01-13;1;1;0;87;1;False
2023-01-14;1;1;0;87;1;False
2023-01-15;1;1;0;98;1;False
2023-01-16;1;0;0;100;1;False
2023-01-17;1;0;0;92;1;False
2023-01-18;1;0;0;99;1;False
2023-01-19;1;0;0;87;1;False
2023-01-20;1;0;0;75;1;False
2023-01-21;1;1;0;85;1;False
2023-01-22;1;0;0;87;1;False
2023-01-23;2;0;0;91;1;False
2023-01-24;1;0;0;92;1;False
2023-01-25;1;0;0;89;1;False
2023-01-26;1;0;0;84;1;False
2023-01-27;1;0;0;91;1;False
2023-01-28;36;0;0;80;1;False
2023-01-29;6;0;0;92;1;False
2023-01-30;5;0;0;93;1;False
2023-01-31;2;0;1;92;1;False
