date;Evangelical Christianity;Antonio Conte;Employment law;I'm a Celebrity ...;air travel;isPartial
2023-01-01;6;95;15;0;76;False
2023-01-02;0;46;34;0;90;False
2023-01-03;0;28;42;0;59;False
2023-01-04;0;70;23;0;89;False
2023-01-05;0;15;70;0;73;False
2023-01-06;0;29;58;0;73;False
2023-01-07;0;22;30;0;53;False
2023-01-08;0;11;23;0;84;False
2023-01-09;0;9;74;0;50;False
2023-01-10;0;16;41;0;79;False
2023-01-11;11;11;47;0;90;False
2023-01-12;0;14;53;0;75;False
2023-01-13;0;23;66;0;60;False
2023-01-14;0;17;36;0;56;False
2023-01-15;0;77;29;0;66;False
2023-01-16;0;41;63;0;68;False
2023-01-17;0;36;94;0;56;False
2023-01-18;0;14;68;0;80;False
2023-01-19;0;87;75;0;73;False
2023-01-20;0;66;72;0;59;False
2023-01-21;0;24;40;0;63;False
2023-01-22;0;76;30;0;70;False
2023-01-23;0;81;66;0;72;False
2023-01-24;0;20;89;0;55;False
2023-01-25;6;21;63;0;75;False
2023-01-26;0;6;77;0;68;False
2023-01-27;0;15;64;0;47;False
2023-01-28;0;6;31;0;66;False
2023-01-29;0;19;27;0;60;False
2023-01-30;0;0;58;0;100;False
2023-01-31;9;9;93;0;84;False
