date;Zendaya;Wind power;Bristol;Mergers and acquisitions;air travel;isPartial
2023-01-01;2;0;90;0;1;False
2023-01-02;5;1;82;0;1;False
2023-01-03;2;0;90;0;1;False
2023-01-04;2;0;86;0;1;False
2023-01-05;2;0;83;0;1;False
2023-01-06;2;0;81;0;1;False
2023-01-07;2;0;85;0;1;False
2023-01-08;2;1;96;0;1;False
2023-01-09;2;0;93;0;1;False
2023-01-10;1;1;93;0;1;False
2023-01-11;4;0;92;0;1;False
2023-01-12;3;1;95;0;1;False
2023-01-13;2;0;86;0;1;False
2023-01-14;3;1;99;0;1;False
2023-01-15;2;0;83;0;1;False
2023-01-16;2;1;95;0;1;False
2023-01-17;2;0;95;0;1;False
2023-01-18;2;0;92;0;1;False
2023-01-19;2;0;83;0;1;False
2023-01-20;2;0;87;0;1;False
2023-01-21;2;0;93;0;1;False
2023-01-22;2;1;85;0;1;False
2023-01-23;1;0;87;0;1;False
2023-01-24;2;1;89;0;1;False
2023-01-25;1;0;84;0;1;False
2023-01-26;1;0;88;0;1;False
2023-01-27;1;0;92;0;1;False
2023-01-28;2;0;100;0;1;False
2023-01-29;2;0;83;0;1;False
2023-01-30;1;0;98;0;2;False
2023-01-31;2;0;100;0;1;False
