date;Manus Island;Berlin film festival;Global health;Gas;air travel;isPartial
2023-01-01;0;0;0;45;1;False
2023-01-02;0;0;0;60;1;False
2023-01-03;0;0;0;77;1;False
2023-01-04;0;0;0;77;1;False
2023-01-05;0;0;0;74;1;False
2023-01-06;0;0;0;67;1;False
2023-01-07;0;0;0;46;1;False
2023-01-08;0;0;0;46;1;False
2023-01-09;0;0;1;72;1;False
2023-01-10;0;0;1;71;1;False
2023-01-11;0;0;1;66;1;False
2023-01-12;0;0;1;73;1;False
2023-01-13;0;0;1;65;1;False
2023-01-14;0;0;1;50;1;False
2023-01-15;0;0;0;49;1;False
2023-01-16;0;0;1;80;1;False
2023-01-17;0;0;3;77;1;False
2023-01-18;0;0;2;71;1;False
2023-01-19;0;0;1;74;1;False
2023-01-20;0;0;1;74;1;False
2023-01-21;0;0;1;59;1;False
2023-01-22;0;0;1;59;1;False
2023-01-23;0;0;0;100;1;False
2023-01-24;0;0;1;77;1;False
2023-01-25;0;0;1;73;1;False
2023-01-26;0;0;1;72;1;False
2023-01-27;0;0;1;67;1;False
2023-01-28;0;0;0;48;1;False
2023-01-29;0;0;0;50;1;False
2023-01-30;0;0;1;74;1;False
2023-01-31;0;0;1;74;1;False
